Start	End	Direction	Weight
14-3-3	BAD	1	1
14-3-3	BAD	1	1
14-3-3	BAD	0	1
14-3-3	BAX	1	1
14-3-3	BCL2	1	1
14-3-3	CDC25	0	1
14-3-3	CDC25C	0	1
14-3-3	FKHRL1	1	1
14-3-3	FKHRL1	0	1
14-3-3	HDAC5	0	1
14-3-3	MITR	0	1
14-3-3	FORKHEAD	1	1
4-1BB	4-1BBL	0	1
4-1BB	TRAF2	0	1
A20	CAMK2	0	1
A20	MKP1	1	1
A20	TNF	0	1
A20	TRAF2	1	1
A20	TRAF6	1	1
a2-Antiplasmin	PLASMIN	1	1
Ab-R	D4-GDI	1	1
Ab-R	GSK3B	1	1
Ab-R	TAU	1	1
ABI2	NAP	0	1
ABI2	PIR	0	1
ABI2	RAC1	0	1
ABI2	WAVE1	0	1
ABI2	WAVE2	0	1
ABI2	WAVE3	0	1
ABL1	CDK5	1	1
ABL1	CRK	1	1
ABL1	GRB2	0	1
ABL1	JNK	1	1
ABL1	p14ARF	1	1
ABL1	P73	1	1
ABL1	PXN	1	1
ABL1	RAD51	1	1
ABL1	RAD9	1	1
ABL1	RB	0	1
ABL1	SHC	0	1
ABL1	VAV2	1	1
ABL1	DOK	1	1
ABL1	TP53BP1	1	1
AC	ATP	1	1
AC	CAMP	1	1
AC	CAP	0	1
AC	GAS	1	1
AC	GPCR	0	1
AC	RAC1	0	1
AC	SMPD1	0	1
AC	SPHK1	0	1
ACHRE	CALM3	1	1
ACT	CREM	0	1
ACTG	ACTN1	0	1
ACTG	APAF1	1	1
ACTG	TALIN	0	1
ACTG	WAVE1	0	1
ACTG	WAVE2	0	1
ACTG	WAVE3	0	1
ACTN1	APAF1	0	1
ACTN1	SPTAN1	0	1
ACTN1	TALIN	0	1
ACTN1	VCL	0	1
ACTN1	ACTIN	1	1
ACTN1	Zyxin	1	1
ACTR	CARM1	0	1
ACTR	CBP	0	1
ACTR	p300	0	1
ACTR	RXR	0	1
ADAM12	EGF	1	1
AFX	FAS	1	1
AGTR1	Ca++	1	1
AGTR1	GAQ	0	1
AGTR1	JAK1	1	1
AGTR2	G1	0	1
AGTR2	Gb	0	1
AGTR2	Gia	0	1
AGTR2	Gy	0	1
AGTR2	NBS1	1	1
AGTR2	SHC	0	1
AGTR2	AGT	0	1
AHR	ARNT	0	1
AHR	Hsp90	0	1
AHR	XAP2	0	1
AKAP13	RHOA	1	1
AKAP13	RIIa	0	1
AKT	AFX	1	1
AKT	BAD	1	1
AKT	BAD	1	1
AKT	CASP9	1	1
AKT	CASP9	1	1
AKT	CREB	1	1
AKT	FKHRL1	1	1
AKT	GCK	1	1
AKT	GR	1	1
AKT	GSK3A	1	1
AKT	GSK3B	1	1
AKT	GSK3B	1	1
AKT	Gy	1	1
AKT	Hsp90	1	1
AKT	Hsp90	0	1
AKT	IKK2	1	1
AKT	IKKA	1	1
AKT	IKKy	1	1
AKT	MDM2	1	1
AKT	MEKK	1	1
AKT	MLK1	1	1
AKT	MTOR	1	1
AKT	NOS3	1	1
AKT	PAK1	1	1
AKT	RAF1	1	1
AKT	RAF1	1	1
AKT	RAC1	1	1
AKT	SOD	1	1
AKT	STAT3	1	1
AKT	TERT	1	1
AKT	TSC1	1	1
AKT	ACTIN	1	1
AKT	FORKHEAD	1	1
AKT	IQGAP	0	1
AKT	MEKK4	1	1
AKT	MLK	1	1
AKT	MLK3	1	1
AKT	TP53BP1	1	1
AKT	MLK3	1	1
ALDOA	CTSD	0	1
ALK3	ATF2	1	1
ALK3	BMPR2	0	1
ALK3	BMP-10	0	1
ALK3	BMP-2	0	1
ALK3	BMP-4	0	1
ALK3	BMP-5	0	1
ALK3	BMP-7	0	1
ALK3	BMPR1	0	1
AMP	AMPK	1	1
AMPK	ACC	1	1
AMPK	P21	1	1
ANF	pGC	1	1
APAF1	ATP	0	1
APAF1	BCL2	0	1
APAF1	BCL2L1	0	1
APAF1	CASP9	1	1
APAF1	CASP9	0	1
APAF1	CYCS	1	1
APAF1	CYCS	0	1
APAF1	MAL	1	1
APAF1	PXN	0	1
